Column1,total_input traffic,total_traffic access,total_traffic metro,total_active antennas,total_loss
0,8.297648247,82.02692829,82.02692829,64,0
0,8.297345111,82.02421219,82.02421219,64,0
0,8.268452762,81.76533675,81.76533675,64,0
0,8.269274278,81.77269753,81.77269753,64,0
0,8.231247298,81.43197579,81.43197579,64,0
0,8.213139999,81.26973439,81.26973439,64,0
0,8.231811577,81.43703173,81.43703173,64,0
0,8.238199724,81.49426953,81.49426953,64,0
0,8.214004133,81.27747704,81.27747704,64,0
0,8.194657474,81.10413096,81.10413096,64,0
0,8.170450827,80.88723941,80.88723941,64,0
0,8.176696737,80.94320276,80.94320276,64,0
0,8.147276551,80.6795979,80.6795979,64,0
0,8.159691701,80.79083764,80.79083764,64,0
0,8.175704084,80.93430859,80.93430859,64,0
0,8.192910808,81.08848084,81.08848084,64,0
0,8.106295906,80.31241132,80.31241132,64,0
0,8.108711311,80.33405335,80.33405335,64,0
0,8.088553796,80.15344201,80.15344201,64,0
0,8.085698197,80.12785585,80.12785585,64,0
0,8.109034258,80.33694695,80.33694695,64,0
0,8.084768691,80.11952748,80.11952748,64,0
0,8.057410808,79.87440084,79.87440084,64,0
0,8.059348373,79.89176142,79.89176142,64,0
0,8.140472605,80.61863454,80.61863454,64,0
0,8.107810363,80.32598085,80.32598085,64,0
0,8.095895999,80.21922815,80.21922815,64,0
0,8.114448193,80.38545581,80.38545581,64,0
0,8.132670755,80.54872996,80.54872996,64,0
0,8.117173736,80.40987668,80.40987668,64,0
0,8.117475236,80.41257812,80.41257812,64,0
0,8.102273221,80.27636806,80.27636806,64,0
0,8.183277041,81.00216229,81.00216229,64,0
0,8.188986188,81.05331624,81.05331624,64,0
0,8.1943038,81.10096205,81.10096205,64,0
0,8.221376175,81.34353053,81.34353053,64,0
0,8.206529161,81.21050129,81.21050129,64,0
0,8.274890116,81.82301544,81.82301544,64,0
0,8.259950263,81.68915436,81.68915436,64,0
0,8.254967927,81.64451263,81.64451263,64,0
0,8.268670866,81.76729096,81.76729096,64,0
0,8.271087038,81.78893986,81.78893986,64,0
0,8.345190914,82.45291059,82.45291059,64,0
0,8.414752831,83.07618537,83.07618537,64,0
0,8.450383281,83.3954342,83.3954342,64,0
0,8.441589847,83.31664503,83.31664503,64,0
0,8.447686543,83.37127143,83.37127143,64,0
0,8.517728028,83.99884313,83.99884313,64,0
0,8.56960926,84.46369897,84.46369897,64,0
0,8.638756696,85.08326,85.08326,64,0
0,8.664003806,85.3094741,85.3094741,64,0
0,8.712454019,85.74358801,85.74358801,64,0
0,8.764331622,86.20841133,86.20841133,64,0
0,8.777284371,86.32446796,86.32446796,64,0
0,8.814409931,86.65711298,86.65711298,64,0
0,8.981511094,88.1543394,88.1543394,64,0
0,9.071941148,88.96459269,88.96459269,64,0
0,9.093730865,89.15982855,89.15982855,64,0
0,9.184177189,89.97022762,89.97022762,64,0
0,9.17603744,89.89729547,89.89729547,64,0
0,9.353551596,91.4878223,91.4878223,64,0
0,9.390288413,91.81698418,91.81698418,64,0
0,9.498355968,92.78526947,92.78526947,64,0
0,9.611236355,93.79667774,93.79667774,64,0
0,9.623367119,93.90536939,93.90536939,64,0
0,9.782242685,95.32889446,95.32889446,64,0
0,9.809718887,95.57508123,95.57508123,64,0
0,9.947525965,96.80983265,96.80983265,64,0
0,10.09104875,98.09579678,98.09579678,64,0
0,10.11521374,98.31231509,98.31231509,64,0
0,10.19000786,98.9824704,98.9824704,64,0
0,10.28686298,99.85029229,99.85029229,64,0
0,10.48005478,101.5812908,101.5812908,64,0
0,10.52362847,101.9717111,101.9717111,64,0
0,10.69752118,103.5297897,103.5297897,64,0
0,10.69418166,103.4998677,103.4998677,64,0
0,10.8782657,105.1492607,105.1492607,64,0
0,11.04722458,106.6631322,106.6631322,64,0
0,11.0341588,106.5460628,106.5460628,64,0
0,11.18037603,107.8561692,107.8561692,64,0
0,11.24036789,108.3936963,108.3936963,64,0
0,11.42062041,110.0087589,110.0087589,64,0
0,11.48248835,110.5630956,110.5630956,64,0
0,11.52927307,110.9822867,110.9822867,64,0
0,11.60811903,111.6887465,111.6887465,64,0
0,11.79849141,113.3944831,113.3944831,64,0
0,11.88142053,114.1375279,114.1375279,64,0
0,11.92802031,114.555062,114.555062,64,0
0,12.05571318,115.6991901,115.6991901,64,0
0,12.15484961,116.5874525,116.5874525,64,0
0,12.20914696,117.0739568,117.0739568,64,0
0,12.390897,118.7024371,118.7024371,64,0
0,12.35177175,118.3518748,118.3518748,64,0
0,12.48980132,119.5886198,119.5886198,64,0
0,12.56592918,120.2707255,120.2707255,64,0
0,12.7685895,122.0865619,122.0865619,64,0
0,12.79429061,122.3168439,122.3168439,64,0
0,12.86361852,122.9380219,122.9380219,64,0
0,12.98665412,124.0404209,124.0404209,64,0
0,13.04536432,124.5664643,124.5664643,64,0
0,13.19920015,125.9448333,125.9448333,64,0
0,13.15954274,125.589503,125.589503,64,0
0,13.23730086,126.2862157,126.2862157,64,0
0,13.31718891,127.0020126,127.0020126,64,0
0,13.36125842,127.3968754,127.3968754,64,0
0,13.39824728,127.7282956,127.7282956,64,0
0,13.64052578,129.899111,129.899111,64,0
0,13.62481211,129.7583165,129.7583165,64,0
0,13.63985972,129.8931431,129.8931431,64,0
0,13.69610045,130.3970601,130.3970601,64,0
0,13.70819203,130.5054006,130.5054006,64,0
0,13.79305639,131.2657853,131.2657853,64,0
0,13.81300101,131.444489,131.444489,64,0
0,13.94924166,132.6652053,132.6652053,64,0
0,13.90538163,132.2722194,132.2722194,64,0
0,13.92748211,132.4702397,132.4702397,64,0
0,14.04951014,133.5636108,133.5636108,64,0
0,13.96639792,132.8189253,132.8189253,64,0
0,14.07735289,133.8130819,133.8130819,64,0
0,14.04240492,133.4999481,133.4999481,64,0
0,14.14173182,134.3899171,134.3899171,64,0
0,14.17686521,134.7047123,134.7047123,64,0
0,14.1296772,134.2819077,134.2819077,64,0
0,14.21983718,135.0897411,135.0897411,64,0
0,14.10166861,134.0309507,134.0309507,64,0
0,14.22063344,135.0968756,135.0968756,64,0
0,14.14875813,134.4528729,134.4528729,64,0
0,14.13751935,134.3521734,134.3521734,64,0
0,14.15050775,134.4685494,134.4685494,64,0
0,14.2051508,134.9581512,134.9581512,64,0
0,14.19115948,134.832789,134.832789,64,0
0,14.14581401,134.4264936,134.4264936,64,0
0,14.23724593,135.2457235,135.2457235,64,0
0,14.22197315,135.1088794,135.1088794,64,0
